David Pat Fuschetto, MD	Cardiology, Interventional Cardiology, Internal Medicine, Nuclear Cardiology	Long Island Jewish Forest Hills	Long Island Jewish Forest Hills Hospital	0.87323943662	40.7290945533	-73.8518793408
David Pat Fuschetto, MD	Cardiology, Interventional Cardiology, Internal Medicine, Nuclear Cardiology	 Long Island Jewish Medical Center	Northwell - Long Island Jewish Medical Center	0.860759493671	40.7546839922	-73.7086773402
David Pat Fuschetto, MD	Cardiology, Interventional Cardiology, Internal Medicine, Nuclear Cardiology	 North Shore University Hospital	North Shore University Hospital	0.984126984127	40.7773426229	-73.7017289327
Jeffrey D Kent, MD	Psychiatry, Child/Adolescent Psychiatry	North Shore University Hospital	North Shore University Hospital	1.0	40.7773426229	-73.7017289327
Michael Harold Brisman, MD	Neurological Surgery	Glen Cove Hospital	Glen Cove Hospital	1.0	40.870624782	-73.6224317551
Michael Harold Brisman, MD	Neurological Surgery	 Huntington Hospital	Huntington Hospital	0.974358974359	40.8792753348	-73.4161477604
Michael Harold Brisman, MD	Neurological Surgery	 Long Island Jewish Medical Center	Northwell - Long Island Jewish Medical Center	0.860759493671	40.7546839922	-73.7086773402
Michael Harold Brisman, MD	Neurological Surgery	 North Shore University Hospital	North Shore University Hospital	0.984126984127	40.7773426229	-73.7017289327
Michael Harold Brisman, MD	Neurological Surgery	 Plainview Hospital	Plainview Hospital	0.972972972973	40.7748543491	-73.4787940979
Michael Harold Brisman, MD	Neurological Surgery	 Syosset Hospital	Syosset Hospital	0.969696969697	40.8108303075	-73.5084528591
Michael Livingston, DPM	Podiatric Medicine and Surgery	Plainview Hospital	Plainview Hospital	1.0	40.7748543491	-73.4787940979
Michael Livingston, DPM	Podiatric Medicine and Surgery	 Syosset Hospital	Syosset Hospital	0.969696969697	40.8108303075	-73.5084528591
Monika Izabela Woroniecka, MD	Allergy and Immunology, Pediatrics	Long Island Jewish Medical Center	Northwell - Long Island Jewish Medical Center	0.846153846154	40.7546839922	-73.7086773402
Monika Izabela Woroniecka, MD	Allergy and Immunology, Pediatrics	 North Shore University Hospital	North Shore University Hospital	0.984126984127	40.7773426229	-73.7017289327
Maria Teresa Santiago, MD	Pediatric Pulmonary Medicine, Pediatrics	Lincoln Medical and Mental Health Center	Woodhull Medical & Mental Health Center	0.810126582278	40.7000078819	-73.9423511438
Anne Sara Steiner, MD	Ophthalmology	Long Island Jewish Medical Center	Northwell - Long Island Jewish Medical Center	0.846153846154	40.7546839922	-73.7086773402
Lissa B Hirsch, MD	Obstetrics and Gynecology	Lenox Hill Hospital	Lenox Hill Hospital	1.0	40.77364375	-73.9608192444
Herbert Ausubel, MD	Hematology, Medical Oncology, Internal Medicine	-Memorial Sloan-Kettering Cancer Center	Memorial Sloan-Kettering Cancer Center At Commack	0.863636363636	40.8096456481	-73.2931355091
Nicholas Zotto, MD	Family Medicine	Southside Hospital	Southside Hospital	1.0	40.7259299596	-73.2407042176
Alan Kevin Geller, DO	Psychiatry, Child/Adolescent Psychiatry	Glen Cove Hospital	Glen Cove Hospital	1.0	40.870624782	-73.6224317551
Alan Kevin Geller, DO	Psychiatry, Child/Adolescent Psychiatry	 Huntington Hospital	Huntington Hospital	0.974358974359	40.8792753348	-73.4161477604
Alan Kevin Geller, DO	Psychiatry, Child/Adolescent Psychiatry	 Lenox Hill Hospital	Lenox Hill Hospital	0.974358974359	40.77364375	-73.9608192444
Alan Kevin Geller, DO	Psychiatry, Child/Adolescent Psychiatry	 Long Island Jewish Forest Hills	Long Island Jewish Forest Hills Hospital	0.861111111111	40.7290945533	-73.8518793408
Alan Kevin Geller, DO	Psychiatry, Child/Adolescent Psychiatry	 Long Island Jewish Medical Center	Northwell - Long Island Jewish Medical Center	0.860759493671	40.7546839922	-73.7086773402
Alan Kevin Geller, DO	Psychiatry, Child/Adolescent Psychiatry	 North Shore University Hospital	North Shore University Hospital	0.984126984127	40.7773426229	-73.7017289327
Alan Kevin Geller, DO	Psychiatry, Child/Adolescent Psychiatry	 Plainview Hospital	Plainview Hospital	0.972972972973	40.7748543491	-73.4787940979
Alan Kevin Geller, DO	Psychiatry, Child/Adolescent Psychiatry	 Southside Hospital	Southside Hospital	0.972972972973	40.7259299596	-73.2407042176
Alan Kevin Geller, DO	Psychiatry, Child/Adolescent Psychiatry	 Syosset Hospital	Syosset Hospital	0.969696969697	40.8108303075	-73.5084528591
Alan Kevin Geller, DO	Psychiatry, Child/Adolescent Psychiatry	 The Zucker Hillside Hospital	Zucker Hillside Hospital	0.905660377358	40.7509474874	-73.7102405554
Raymond Louis Ebarb, MD	Family Medicine	Southside Hospital	Southside Hospital	1.0	40.7259299596	-73.2407042176
Joshua L. Fox, MD	Dermatology	Maimonides Medical Center	Maimonides Medical Center	1.0	40.6390406159	-73.9979410172
Peter A D'Arienzo, MD	Ophthalmology	North Shore University Hospital	North Shore University Hospital	1.0	40.7773426229	-73.7017289327
Peter A D'Arienzo, MD	Ophthalmology	 Syosset Hospital	Syosset Hospital	0.969696969697	40.8108303075	-73.5084528591
Thulasi Cheruvanky, MD, MBBS	Pediatrics	Long Island Jewish Medical Center	Northwell - Long Island Jewish Medical Center	0.846153846154	40.7546839922	-73.7086773402
