Samaritan Sleep Study Lab,43.9651239011,-75.9147355082,/
Samaritan Main OR,43.9648047263,-75.9131021604,/
Samaritan Technology Lab,43.965155,-75.913924,/
Samaritan Medical Center Radiology Department,43.965526,-75.914778,/
Guthrie Pharmacy,44.0596028179,-75.8115820104,/
Marra's Homecare,43.9913538678,-75.9514978132,/
Samaritan Medical Center,43.9649749299,-75.9138848086,/
Guthrie Clinic,44.0598816608,-75.811729572,/
Tri-town regional hospital,42.3043313777,-75.3951691309,/
SUNY UPSTATE Children's Hospital,42.4464302063,-75.5999298096,/
Klinik Nefrologi Hillside QEH,42.165645,-75.855157,/
Great Bend / Hallstead Ambulance,41.9721508026,-75.7458561659,/
หอผู้ป่วยหนักทารกแรกเกิด NICU,42.129814,-75.788601,/
คลินิกนรีเวช โรงพยาบาลตรัง,42.129814,-75.788601,/
Endoscopy Unit Price Charles,42.129814,-75.788601,/
Broome Ambulance Central,42.1022687843,-75.89907614,/
ห้องยา รพ.,42.129814,-75.788601,/
UHS Chenango Memorial Hospital,42.5414543614,-75.5257109262,http://www.uhs.net
St James Mercy Hospital,42.3137663788,-77.6609080839,/
St. James Mercy Ultrasound,42.3140656903,-77.6591352528,/
Jones Memorial Hospital ICU,42.1223064454,-77.9510794465,/
Jones Memorial Hospital Maternity,42.12272,-77.950629,/
Jones Memorial 2nd Floor,42.1223737925,-77.9510850243,/
Jones Memorial Hospital,42.1229232833,-77.9510906021,/
Jones Memorial Registration,42.122811,-77.951282,/
Jones Memorial Hospital Sleep Lab,42.123418,-77.951294,/
Jones Memorial Image,42.1240848399,-77.9492276128,/
Jones Memorial Surgical Waiting Room,42.122868,-77.951156,/
Strong Memorial Pediatric ICU,42.1229972839,-77.9509353638,/
Hangover Recovery Unit,42.227274,-78.032204,/
Pain Management,42.1225434103,-77.9509567356,/
Jones Memorial Nutrition Management,42.122968,-77.951794,/
Coumadin Clinic,42.1223483027,-77.9506053355,/
Truck Stop Landing Zone,42.254889,-78.060598,/
Jones Memorial Medical Imaging,42.1227203513,-77.9514643116,/
X-ray  Department,42.1227615334,-77.9514141119,/
buffalo general,42.1196556091,-77.9420318604,/
Nicholas H. Noyes Memorial Hospital,42.5531811678,-77.6977620671,/
VA Medical Center,42.9509964165,-78.8123782588,http://www.buffalo.va.gov
Highpointe on Michigan a Kaleida Health Facility,42.901049748,-78.8622749849,/
Northgate,43.0751465905,-78.8676485789,/
Degraff EEG/EKG Department,43.0257825115,-78.8628223089,/
Ecmc Micu,42.9253046002,-78.8313323821,/
Roswell Park Cancer Institute,42.8986822427,-78.8650345802,http://www.roswellpark.org
Children's Labor and Delivery,42.9090647888,-78.8740500675,/
Williamsville Pyschiatry PLLC,42.978017,-78.713976,/
Sisters Hospital Ambulatory Surgery 5th Floor,42.927691,-78.848904,/
Niagara General Hospital,43.099856,-79.133126,/
Western New York Children's Psychiatric Center,42.8247861607,-78.7313216778,http://omh.ny.gov/omhweb/facilities/wcpc/facility.htm
Pre-admissions,42.9009114537,-78.8661780568,/
Sisters Hospital Labor And Delievery,42.9285894057,-78.8490664096,/
Erie County Medical Center (ECMC),42.9248517805,-78.8311443522,http://www.ecmc.edu
Buffalo General Emergency Room,42.9017029586,-78.865979037,/
Eastern Niagara Hospital,43.1774456779,-78.6717320457,/
Niagara Falls Memorial Medical Center,43.093922354,-79.0500196121,http://nfmmc.org
Sisters of Charity Hospital,42.9286510915,-78.8487052917,http://www.chsbuffalo.org/Facilities/Hospitals/SistersofCharityHospital
Buffalo General Medical Center,42.9009014511,-78.8664600007,http://www.kaleidahealth.org/bgmc
Kenmore Mercy Hospital,42.9773641423,-78.8797104472,http://www.chsbuffalo.org/Facilities/Hospitals/KenmoreMercyHospital
DeGraff Memorial Hospital,43.0258771438,-78.8621920568,http://degraff.kaleidahealth.org
Millard Fillmore Suburban Hospital,42.9935927478,-78.7301480609,http://suburban.kaleidahealth.org
Mercy Hospital of Buffalo,42.8477237327,-78.8132632715,http://www.chsbuffalo.org/Facilities/Hospitals/MercyHospitalofBuffalo
Women and Children's Hospital of Buffalo,42.9095745484,-78.875259161,http://www.wchob.org
Greater Niagara General Hospital,43.0938701784,-79.0908924955,http://www.niagarahealth.on.ca/en/sites-and-services/details/niagara-falls
Sisters Of Charity Hospital - St. Joseph Campus,42.914398854,-78.7828142617,http://www.chsbuffalo.org/Facilities/Hospitals/SSJC
Mount St. Mary's Hospital,43.1540162258,-79.0321236164,http://www.chsbuffalo.org/Facilities/Hospitals/MountStMarysHospital
Gates Vascular Institute,42.9013213399,-78.866321793,http://www.kaleidahealth.org/gvi
Autumn View Health Care Facility,42.7615425357,-78.8325103262,/
Our Lady of Peace,43.1537997016,-79.0360474459,/
buffalo general,42.1196556091,-77.9420318604,/
St. James Mercy Ultrasound,42.3140656903,-77.6591352528,/
Jones Memorial Hospital ICU,42.1223064454,-77.9510794465,/
Jones Memorial Hospital Maternity,42.12272,-77.950629,/
Jones Memorial 2nd Floor,42.1223737925,-77.9510850243,/
Jones Memorial Hospital,42.1229232833,-77.9510906021,/
St James Mercy Hospital,42.3137663788,-77.6609080839,/
Jones Memorial Image,42.1240848399,-77.9492276128,/
Coumadin Clinic,42.1223483027,-77.9506053355,/
Pain Management,42.1225434103,-77.9509567356,/
X-ray  Department,42.1227615334,-77.9514141119,/
Strong Memorial Pediatric ICU,42.1229972839,-77.9509353638,/
Hangover Recovery Unit,42.227274,-78.032204,/
Jones Memorial Nutrition Management,42.122968,-77.951794,/
Jones Memorial Medical Imaging,42.1227203513,-77.9514643116,/
Jones Memorial Registration,42.122811,-77.951282,/
Jones Memorial Hospital Sleep Lab,42.123418,-77.951294,/
Truck Stop Landing Zone,42.254889,-78.060598,/
Jones Memorial Surgical Waiting Room,42.122868,-77.951156,/
Lakeshore Hospital,42.5590620854,-79.1246246808,/
Highpointe on Michigan a Kaleida Health Facility,42.901049748,-78.8622749849,/
Bertrand Chaffee Hospital,42.5092644088,-78.6589799666,http://www.bertrandchaffee.com
RPCI-Hematology,42.899055,-78.864996,/
Springville Animal Hospital,42.50199673,-78.68695504,/
Port Colborne General Hospital,42.8805095391,-79.2595821381,/
Children's Labor and Delivery,42.9090647888,-78.8740500675,/
wcob blood lab,42.9100418091,-78.875831604,/
Sisters Hospital Ambulatory Surgery 5th Floor,42.927691,-78.848904,/
Pre-admissions,42.9009114537,-78.8661780568,/
Sisters Hospital Labor And Delievery,42.9285894057,-78.8490664096,/
Roswell Park Cancer Institute,42.8986822427,-78.8650345802,http://www.roswellpark.org
Sisters of Charity Hospital,42.9286510915,-78.8487052917,http://www.chsbuffalo.org/Facilities/Hospitals/SistersofCharityHospital
Buffalo General Medical Center,42.9009014511,-78.8664600007,http://www.kaleidahealth.org/bgmc
Lake Shore Hospital,42.5584359824,-79.1266591485,/
Brooks Memorial Hospital,42.4801445116,-79.3343519729,/
Buffalo General Emergency Room,42.9017029586,-78.865979037,/
Mercy Hospital of Buffalo,42.8477237327,-78.8132632715,http://www.chsbuffalo.org/Facilities/Hospitals/MercyHospitalofBuffalo
Women and Children's Hospital of Buffalo,42.9095745484,-78.875259161,http://www.wchob.org
,42.673247,-78.7506,/
Douglas Memorial Hospital,42.9119502526,-78.9243462811,/
CTRC @ Buffalo General Hospital,42.9016614396,-78.866321793,/
Children's Hospital Piediatric Out Patient Center,42.9095115662,-78.8749923706,/
Mercy Hospital GI Unit,42.847664014,-78.8128484228,/
Sisters Hospital 3 North,42.928575948,-78.848369717,/
Niagara Health System,42.8803847359,-79.2589434808,/
Childrens Hospital radiology waiting room,42.9094419048,-78.8752109143,/
Roswell Park Radiology Floor,42.8994202653,-78.8651718973,/
Gates Vascular Institute,42.9013213399,-78.866321793,http://www.kaleidahealth.org/gvi
Autumn View Health Care Facility,42.7615425357,-78.8325103262,/
Chaffee hospital,42.5089531045,-78.6588193088,/
Bertrand Chaffee Hospital,42.5092644088,-78.6589799666,http://www.bertrandchaffee.com
Springville Animal Hospital,42.50199673,-78.68695504,/
Wyoming County Community Hospital,42.7545258546,-78.131246396,/
Roswell Park Breast Center,42.7647929484,-78.7987923143,/
,42.328753,-78.671251,/
Ralph Wilson Medical Center South,42.7739588768,-78.7886901487,/
Childrens Hospital Phlebotomy,42.7414468998,-78.8169968312,/
,42.673247,-78.7506,/
,42.673247,-78.7506,/
Autumn View Health Care Facility,42.7615425357,-78.8325103262,/
Pulse-MD Urgent Care,41.697791,-73.882384,http://pulse-mdurgentcare.com
Neugarten Birth Center,41.9359609912,-73.9124415842,http://www.health-quest.org
Wingate at Beacon,41.5097167804,-73.955639611,/
Brookmeade Baptist Home,41.9259350655,-73.8932361895,/
PHC Ambulatory Surgery,41.382515,-73.663991,/
HRHCare,41.674908,-73.9358,/
Hudson River Psychiatric Center,41.740078,-73.903827,/
Vassar Brothers Medical Center,41.6938408064,-73.935842514,http://www.health-quest.org/
St. Luke's Cornwall Hospital,41.5033386836,-74.0142917633,/
St Luke's Hospital - Cornwall Campus,41.4351847541,-74.0422590527,/
Northern Dutchess Hospital,41.9350851943,-73.9125965976,http://www.health-quest.org
MidHudson Regional Hospital,41.7180910131,-73.9266850796,/
Kingston Hospital,41.926861178,-73.9950805872,/
Putnam Hospital,41.3827679844,-73.6634825749,http://www.health-quest.org/
Benedictine Hospital,41.921454879,-74.0000224113,/
Castle Point VA Hospital,41.542972096,-73.9632047318,/
The Hangover,41.717288,-73.97086,/
RCU,41.694103241,-73.9354629517,/
georges first aid,41.559969,-73.723219,/
Dr Kurt C Kish,41.6682154841,-73.8364934921,http://dutchesscountychiropractors.com
NCU,41.694129,-73.935427,/
Zeus The Zombie Professional,41.666841,-73.933641,/
Dr Zhaohui Meng,41.6410726113,-73.8854116201,/
VCA Animal Specialty and Emergency Center,41.57606,-73.910554,http://www.vcaspecialtyvets.com/animal-specialty-emergency-center
HealthAlliance Mary's Ave Campus,41.920968144,-73.999929799,/
Pros,41.717435,-73.927099,/
Chest Clinic,41.926988,-73.994983,/
MOST,41.7826764,-73.6964012,https://www.mostpt.com
St. Lukes Cornwall Hospital,41.4855441853,-74.0605718429,http://www.stlukescornwallhospital.org
Harlem Valley Psychiatric Center,41.6378148186,-73.5715391192,/
Columbia Memorial Health,42.246488328,-73.7775335168,http://www.columbiamemorialhealth.org
Fairview Hospital,42.1910697202,-73.3717590108,/
Byrons Hudson Valley Hearing,41.9853978703,-73.9846801758,http://www.byronshvhearing.com
HealthAlliance PFS Department,41.976712,-73.992391,/
columbia memorial am-surg unit,42.2607841492,-73.7600708008,/
Auburn Memorial Hospital,42.9341807778,-76.5663174498,/
Silver City,43.041248,-76.138457,/
Upstate Wound Care Clinic,43.041733,-76.141086,/
SUNY Upstate Medical University Hospital,43.0423233673,-76.140383932,http://www.upstate.edu
St. Joseph's Hospital Health Center,43.0558817669,-76.1491655105,http://www.sjhsyr.org
Medical Center West,43.040794,-76.29405645,/
